Penn Station - Garden City,419
Jamaica - Seaford,2905
Atlantic Terminal - New Hyde Park,403
Atlantic Terminal - Merillon Avenue,391
Atlantic Terminal - Mineola,356
Atlantic Terminal - Carle Place,347
Atlantic Terminal - Westbury,505
Atlantic Terminal - Hicksville,372
Atlantic Terminal - Bethpage,434
Atlantic Terminal - Farmingdale,388
Atlantic Terminal - Wyandanch,346
Atlantic Terminal - Deer Park,277
Centre Avenue - Centre Avenue,345
Jamaica - Merrick,2819
St. Albans - Rockville Centre,4655
Oyster Bay - Oyster Bay,1051
Locust Valley - Oyster Bay,1051
Glen Cove - Locust Valley,1379
Brentwood - Brentwood,593
Hunterspoint Avenue - Hicksville,680
Hunterspoint Avenue - Syosset,521
Hunterspoint Avenue - Cold Spring Harbor,462
Hunterspoint Avenue - Huntington,675
Seaford - Seaford,1228
Forest Hills - Jamaica,1523
Massapequa - Massapequa,2104
Plandome - Plandome,386
Patchogue - Patchogue,1462
Penn Station - Oceanside,3137
Penn Station - Island Park,2456
Stony Brook - Stony Brook,1807
Penn Station - Mets-Willets Point,426
Jamaica - Carle Place,1450
Rosedale - Rosedale,853
Long Island City - Long Island City,699
Long Island City - Hunterspoint Avenue,697
Long Island City - Jamaica,456
Long Island City - Mineola,231
Long Island City - East Williston,33
Long Island City - Albertson,32
Long Island City - Roslyn,26
Long Island City - Greenvale,26
Long Island City - Glen Head,22
Long Island City - Sea Cliff,19
Long Island City - Glen Street,17
Hampton Bays - Hampton Bays,214
Patchogue - Mastic Shirley,944
Auburndale - Manhasset,232
Woodside - St. Albans,210
Woodside - Lynbrook,351
Woodside - Rockville Centre,472
Woodside - Baldwin,427
Woodside - Freeport,467
Woodside - Merrick,350
Woodside - Bellmore,289
Copiague - Copiague,869
St. Albans - Lynbrook,1032
Cold Spring Harbor - Cold Spring Harbor,1221
Babylon - Patchogue,682
Smithtown - Smithtown,745
Atlantic Terminal - Locust Manor,1210
Atlantic Terminal - Laurelton,1135
Atlantic Terminal - Rosedale,1067
Atlantic Terminal - Valley Stream,948
Atlantic Terminal - Gibson,482
Broadway - Bayside,751
Flushing Main Street - Broadway,1049
Westbury - Westbury,1189
Freeport - Seaford,1147
New Hyde Park - Carle Place,102
New Hyde Park - Westbury,99
New Hyde Park - Hicksville,53
New Hyde Park - Syosset,39
New Hyde Park - Cold Spring Harbor,37
East Rockaway - East Rockaway,410
Jamaica - Patchogue,614
Jamaica - Bellport,244
Jamaica - Mastic Shirley,416
Jamaica - Speonk,428
Jamaica - Westhampton,536
Jamaica - Hampton Bays,378
Jamaica - Southampton,293
Jamaica - Bridgehampton,248
Jamaica - East Hampton,161
Stewart Manor - Stewart Manor,413
Hunterspoint Avenue - Greenlawn,666
Oceanside - Oceanside,595
Woodside - Mineola,976
Nostrand Avenue - Nostrand Avenue,581
Woodside - Great Neck,672
Penn Station - Babylon,1394
Atlantic Terminal - Hollis,970
Atlantic Terminal - Queens Village,813
Atlantic Terminal - Bellerose,758
Penn Station - Bay Shore,1145
Penn Station - Islip,991
Penn Station - Great River,916
Penn Station - Oakdale,844
Jamaica - Baldwin,1958
Jamaica - Wantagh,1457
Jamaica - Lindenhurst,910
Atlantic Terminal - Westwood,89
Atlantic Terminal - Malverne,75
Atlantic Terminal - Lakeview,66
Atlantic Terminal - Hempstead Gardens,57
Penn Station - Westhampton,598
Penn Station - Southampton,497
Long Island City - Hicksville,127
Long Island City - Syosset,68
Hunterspoint Avenue - Northport,497
Hunterspoint Avenue - Kings Park,358
Oakdale - Oakdale,264
Jamaica - Centre Avenue,318
Jamaica - East Rockaway,288
Jamaica - Oceanside,216
Jamaica - Island Park,181
Woodside - Broadway,426
Woodside - Bayside,560
Woodside - Douglaston,308
Woodside - Little Neck,274
Penn Station - Sayville,584
Penn Station - Patchogue,384
Penn Station - Bellport,366
Rockville Centre - Freeport,284
Rockville Centre - Bellmore,256
Rockville Centre - Wantagh,244
Rockville Centre - Seaford,235
Massapequa Park - Babylon,255
Freeport - Freeport,1794
Jamaica - Farmingdale,2139
Penn Station - East Williston,697
Penn Station - Albertson,669
Mineola - Farmingdale,145
Mineola - Pinelawn,47
Mineola - Wyandanch,124
Mineola - Deer Park,141
Mineola - Brentwood,85
Mineola - Central Islip,75
Woodside - Murray Hill,429
Woodside - Auburndale,534
Hunterspoint Avenue - Smithtown,291
Atlantic Terminal - Floral Park,594
Penn Station - Roslyn,562
Penn Station - Greenvale,532
Penn Station - Glen Head,349
Penn Station - Sea Cliff,282
Freeport - Babylon,208
Jamaica - Wyandanch,1729
Glen Head - Glen Head,292
Sayville - Speonk,19
Sayville - Westhampton,19
Sayville - Hampton Bays,18
Sayville - Southampton,10
Sayville - Bridgehampton,9
Sayville - East Hampton,8
Sayville - Amagansett,8
Locust Manor - Locust Manor,367
['Patchogue'][],80
St. James - St. James,376
St. James - Centre Avenue,15
St. James - Massapequa Park,15
Belmont - St. James,15
['Belmont'][],52
Belmont - Hewlett,17
Belmont - Stony Brook,17
Belmont - East Rockaway,16
Belmont - Glen Cove,7
Atlantic Terminal - Stewart Manor,477
Babylon - Bellport,62
Massapequa Park - Copiague,51
Massapequa Park - Lindenhurst,48
Jamaica - Bellerose,511
Forest Hills - Forest Hills,1207
Roslyn - Roslyn,402
Bridgehampton - Bridgehampton,312
Bayside - Little Neck,118
Nassau Boulevard - Nassau Boulevard,442
Douglaston - Douglaston,416
Flushing Main Street - Auburndale,180
Mets-Willets Point - Flushing Main Street,178
Hunterspoint Avenue - Bay Shore,256
Hunterspoint Avenue - Sayville,183
Hunterspoint Avenue - Patchogue,137
Hunterspoint Avenue - Bellport,137
Hunterspoint Avenue - Mastic Shirley,134
Hunterspoint Avenue - Speonk,121
Hunterspoint Avenue - Westhampton,191
Hunterspoint Avenue - Hampton Bays,134
Hunterspoint Avenue - Southampton,119
Amityville - Amityville,834
Rockville Centre - Massapequa,211
Rockville Centre - Massapequa Park,190
Rockville Centre - Amityville,179
Rockville Centre - Copiague,166
Rockville Centre - Lindenhurst,144
Atlantic Terminal - Brentwood,266
Atlantic Terminal - Central Islip,239
Locust Valley - Locust Valley,331
Westwood - Westwood,55
Little Neck - Little Neck,571
Westhampton - Westhampton,281
East New York - East New York,754
Lynbrook - Baldwin,91
Lynbrook - Freeport,105
Lynbrook - Merrick,83
Rosedale - Gibson,158
Deer Park - Central Islip,221
Farmingdale - Deer Park,313
Bayside - Great Neck,318
Jamaica - Gibson,334
Jamaica - Hewlett,159
Jamaica - Woodmere,136
Jamaica - Cedarhurst,104
Jamaica - Lawrence,84
Jamaica - Inwood,47
Long Island City - Huntington,120
Auburndale - Auburndale,268
West Hempstead - East Rockaway,236
Broadway - West Hempstead,330
Broadway - Cold Spring Harbor,182
['Broadway'][],646
Broadway - Albertson,130
Mineola - Babylon,27
Mineola - Bay Shore,25
Mineola - Islip,23
Mineola - Great River,21
Mineola - Oakdale,20
Mineola - Sayville,17
Great River - Great River,271
Patchogue - Speonk,161
Bay Shore - Sayville,435
Flushing Main Street - Flushing Main Street,605
Flushing Main Street - Bayside,336
Flushing Main Street - Douglaston,169
Flushing Main Street - Little Neck,150
Flushing Main Street - Manhasset,40
Flushing Main Street - Plandome,37
Jamaica - Deer Park,1037
Hicksville - Farmingdale,151
Hicksville - Pinelawn,37
Hicksville - Wyandanch,151
Hicksville - Deer Park,132
Smithtown - East Hampton,2
Jamaica - Floral Park,509
Jamaica - Queens Village,432
Jamaica - Stewart Manor,294
Jamaica - Nassau Boulevard,248
Sea Cliff - Sea Cliff,224
Queens Village - Queens Village,396
Valley Stream - Westwood,18
Valley Stream - Malverne,14
Valley Stream - Lakeview,13
Greenlawn - Greenlawn,261
Broadway - Broadway,219
Jamaica - Brentwood,946
Penn Station - Mastic Shirley,307
Atlantic Terminal - Nassau Boulevard,369
Atlantic Terminal - Garden City,242
Atlantic Terminal - Country Life Press,213
East Rockaway - Mastic Shirley,169
Jamaica - Laurelton,539
Jamaica - Rosedale,611
Jamaica - East Williston,495
Jamaica - Albertson,451
Jamaica - Roslyn,391
Jamaica - Greenvale,355
Jamaica - Glen Head,320
Jamaica - Sea Cliff,276
Jamaica - Glen Street,215
Jamaica - Glen Cove,140
Jamaica - Locust Valley,73
Inwood - Inwood,205
Southampton - Southampton,406
St. Albans - St. Albans,218
Hunterspoint Avenue - Bethpage,212
Hunterspoint Avenue - Farmingdale,189
Hunterspoint Avenue - Wyandanch,171
Lawrence - Lawrence,223
Jamaica - Central Islip,809
Locust Manor - Valley Stream,240
Hicksville - Brentwood,112
Penn Station - Gibson,524
Penn Station - Hewlett,397
Penn Station - Woodmere,323
Penn Station - Cedarhurst,194
Penn Station - Lawrence,138
Woodside - Floral Park,67
Woodside - New Hyde Park,611
Woodside - Merillon Avenue,456
Woodside - Westbury,490
Woodside - Syosset,263
Woodside - Cold Spring Harbor,239
Penn Station - Glen Street,232
Penn Station - Glen Cove,159
Laurelton - Laurelton,397
['Bellerose'][],171
[]['Bellerose'],193
[]['Albertson'],189
[]['Cold Spring Harbor'],162
Island Park - Island Park,409
Atlantic Terminal - Centre Avenue,266
Atlantic Terminal - East Rockaway,257
Atlantic Terminal - Oceanside,222
Mineola - Huntington,223
Mineola - Northport,105
Mineola - Kings Park,105
Mineola - Smithtown,94
Mineola - St. James,90
Patchogue - Westhampton,49
Patchogue - Hampton Bays,34
Patchogue - Southampton,27
Patchogue - Bridgehampton,21
Patchogue - East Hampton,18
Patchogue - Amagansett,15
Hunterspoint Avenue - St. James,274
Hunterspoint Avenue - Stony Brook,170
East Hampton - East Hampton,457
Penn Station - Locust Valley,50
Atlantic Terminal - Hewlett,387
Atlantic Terminal - Woodmere,283
Atlantic Terminal - Cedarhurst,180
Atlantic Terminal - Lawrence,144
Atlantic Terminal - Inwood,105
[]['Southampton'],32
['Hampton Bays'][],88
Douglaston - Great Neck,7
Deer Park - Ronkonkoma,388
Woodside - Carle Place,476
Freeport - Amityville,357
Jamaica - Pinelawn,402
Lakeview - Lakeview,50
Lakeview - East Rockaway,32
Hempstead Gardens - Hempstead Gardens,173
Long Island City - Glen Cove,7
Mastic Shirley - Mastic Shirley,323
Woodside - Wantagh,259
Woodside - Seaford,306
Jamaica - Stony Brook,146
Woodside - Locust Manor,145
Woodside - Laurelton,141
Woodside - Rosedale,137
Woodside - Valley Stream,175
Woodside - Centre Avenue,115
Woodside - East Rockaway,114
Woodside - Oceanside,102
Woodside - Island Park,89
Cedarhurst - Cedarhurst,345
Atlantic Terminal - Copiague,327
Atlantic Terminal - Lindenhurst,259
Jamaica - Garden City,181
Jamaica - Country Life Press,146
Country Life Press - Country Life Press,152
Woodside - Mets-Willets Point,95
St. Albans - Freeport,499
Valley Stream - Hewlett,18
